scale,method,varsortability,time_s,shd,skeleton_precision,skeleton_recall,skeleton_f1,orientation_accuracy,n_shared_edges
raw,sortnregress,0.59,0.11,14,0.875,0.4117647058823529,0.56,0.5714285714285714,7
raw,NOTEARS,0.59,5.12,19,0.5909090909090909,0.7647058823529411,0.6666666666666667,0.5384615384615384,13
raw,PC,0.59,4.09,17,0.8888888888888888,0.47058823529411764,0.6153846153846153,0.375,8
raw,GES,0.59,0.11,17,1.0,0.4117647058823529,0.5833333333333334,0.35714285714285715,7
std,sortnregress,0.5,0.05,14,0.875,0.4117647058823529,0.56,0.5714285714285714,7
std,NOTEARS,0.5,0.4,15,1.0,0.23529411764705882,0.38095238095238093,0.5,4
std,PC,0.5,0.04,17,0.8888888888888888,0.47058823529411764,0.6153846153846153,0.375,8
std,GES,0.5,0.09,17,1.0,0.4117647058823529,0.5833333333333334,0.35714285714285715,7
